lon,lat,address,city_contribution
-171.7513551,-13.8506958,"Apia, Samoa",102720
-149.5584758,-17.5516251,"Pape'ete, French Polynesia",226822
-123.1207375,49.2827291,"Vancouver, BC, Canada",346756
-122.7714861,45.4312294,"Tigard, OR, USA",1404660
-122.6764816,45.5230622,"Portland, OR, USA",281700
-122.4077498,37.654656,"South San Francisco, CA, USA",113866
-122.34809,37.5778696,"Burlingame, CA, USA",255000
-122.3320708,47.6062095,"Seattle, WA, USA",3034915
-122.3255254,37.5629917,"San Mateo, CA, USA",221739.25
-122.2711137,37.8043637,"Oakland, CA, USA",4585048.86
-122.2054035,47.7623204,"Bothell, WA, USA",1966527.9
-122.2006786,47.610377,"Bellevue, WA, USA",85814
-122.1660756,37.424106,"Stanford, CA, USA",2439327
-122.0838511,37.3860517,"Mountain View, CA, USA",110295
-121.9552356,37.3541079,"Santa Clara, CA, USA",297094
-119.8276389,34.4358294,"Goleta, CA, USA",552909
-118.2436849,34.0522342,"Los Angeles, CA, USA",1190165.9
-117.2712717,32.8328112,"La Jolla, San Diego, CA, USA",450000
-117.2611527,34.0483474,"Loma Linda, CA, USA",120000
-117.1610838,32.715738,"San Diego, CA, USA",756000
-117.0382471,32.5149469,"Tijuana, Baja California, Mexico",74000
-116.9625269,32.7947731,"El Cajon, CA, USA",114720
-116.5963713,31.8667427,"Ensenada, Baja California, Mexico",324469
-114.0708459,51.0486151,"Calgary, AB, Canada",110637.52
-113.4909267,53.544389,"Edmonton, AB, Canada",460864.43
-112.84184,49.69349,"Lethbridge, AB, Canada",302399.2
-111.9400054,33.4255104,"Tempe, AZ, USA",800428.6
-111.8338359,41.7369803,"Logan, UT, USA",30000
-111.0429339,45.6769979,"Bozeman, MT, USA",304000
-110.9559192,29.0729673,"Hermosillo, Sonora, Mexico",69803.4
-106.3033145,31.654557,"Socorro, TX 79927, USA",112720
-106.0691004,28.6329957,"Chihuahua, Mexico",51666
-105.2705456,40.0149856,"Boulder, CO, USA",153000
-105.084423,40.5852602,"Fort Collins, CO, USA",220075
-103.416501,20.6719563,"Zapopan, Jalisco, Mexico",29328.2
-102.5832426,22.7708555,"Zacatecas, Mexico",159240
-100.9954254,25.4267244,"Saltillo, Coah., Mexico",110499.38
-100.9531504,20.4888776,"Chapingo, 38317 Cortazar, Gto., Mexico",128375
-100.5899619,25.8092806,"García, Nuevo Leon, Mexico",468940.6
-100.4017501,25.6573447,"San Pedro Garza García, Nuevo Leon, Mexico",141800
-100.2868973,25.7493469,"San Nicolás de los Garza, Nuevo Leon, Mexico",397576
-99.9961947,25.592172,"Nuevo Leon, Mexico",1491160
-99.7232673,19.4968732,"State of Mexico, Mexico",417555
-99.2215659,18.9242095,"Cuernavaca, Morelos, Mexico",379650
-99.1732936,18.8954874,"Jiutepec, Morelos, Mexico",205008.34
-99.1411154,23.7369164,"Ciudad Victoria, Tamaulipas, Mexico",7500
-99.133208,19.4326077,"Mexico City, Mexico",4393039.91
-98.8831503,19.5060382,"Texcoco, State of Mexico, Mexico",112482
-98.8138763,53.7608608,"Manitoba, Canada",120419
-98.3150036,19.0310574,"Sta María Tonanzintla, San Andrés Cholula, Pue., Mexico",47465.2
-97.7430608,30.267153,"Austin, TX, USA",1265863.4
